geo_id_ads,region
9213358,Andalucía
9221405,Andalucía
9049059,Andalucía
9209300,Andalucía
9216735,Andalucía
9049164,Andalucía
9212500,Andalucía
9219920,Andalucía
9048964,Andalucía
9049169,Andalucía
9211974,Andalucía
9049027,Andalucía
9220659,Andalucía
9047062,Andalucía
9210487,Andalucía
9220916,Andalucía
9049232,Andalucía
9215897,Andalucía
9213918,Andalucía
9209166,Andalucía
9212180,Andalucía
9221779,Andalucía
9219848,Andalucía
9211614,Andalucía
9196994,Andalucía
9212060,Andalucía
9049175,Andalucía
9196103,Andalucía
9222401,Andalucía
9212967,Andalucía
9049158,Andalucía
9220680,Andalucía
1005418,Andalucía
9208351,Andalucía
9214417,Andalucía
9214022,Andalucía
9049127,Andalucía
9219851,Andalucía
9049208,Andalucía
9212683,Andalucía
9221270,Andalucía
9209796,Andalucía
9222172,Andalucía
9221995,Andalucía
9208961,Andalucía
9049117,Andalucía
1005419,Andalucía
9216750,Andalucía
9217584,Andalucía
9213953,Andalucía
9049122,Andalucía
9049042,Andalucía
9221549,Andalucía
9049123,Andalucía
9049179,Andalucía
9210963,Andalucía
9216855,Andalucía
9209009,Andalucía
9208825,Andalucía
9049102,Andalucía
9221150,Andalucía
9221970,Andalucía
9041198,Andalucía
9218335,Andalucía
9212384,Andalucía
9215219,Andalucía
9212350,Andalucía
9220676,Andalucía
9217609,Andalucía
9195738,Andalucía
9049153,Andalucía
1005414,Andalucía
9049028,Andalucía
9210146,Andalucía
9222206,Andalucía
9222456,Andalucía
9214434,Andalucía
9217372,Andalucía
9222459,Andalucía
9199194,Andalucía
9211542,Andalucía
9209650,Andalucía
9221879,Andalucía
9221526,Andalucía
9048996,Andalucía
9219031,Andalucía
9221698,Andalucía
1005444,Andalucía
9198251,Andalucía
9221702,Andalucía
1005416,Andalucía
9213976,Andalucía
9198391,Andalucía
9219942,Andalucía
9219885,Andalucía
9218691,Andalucía
9217980,Andalucía
9049048,Andalucía
20300,Aragón
9214126,Aragón
9216445,Aragón
1005548,Aragón
9049080,Aragón
9215346,Aragón
9210106,Aragón
9218777,Aragón
9209936,Aragón
9049142,Aragón
9208584,Aragón
9049231,Aragón
9219908,Aragón
9216098,Aragón
9214044,Aragón
9213496,Aragón
9217682,Aragón
9207424,Aragón
9212167,Aragón
9047054,Aragón
9211806,Aragón
9220528,Aragón
9215953,Aragón
9220285,Aragón
9047052,Aragón
9198683,Aragón
9218952,Aragón
9207973,Aragón
